classe,arquivo,fracao_0_500,fracao_500_1000,fracao_1000_2000,fracao_2000_4000,fracao_4000_8000,wavelet_A6,wavelet_D6,wavelet_D5,wavelet_D4,wavelet_D3,wavelet_D2,wavelet_D1
Healthy,preprocess_Reading1.dat,0.5268604879300192,0.23998347671024356,0.2234954375014278,0.009659931019248362,6.668390612412377e-07,0.036467999564910744,0.27506276026490384,0.20552292984095072,0.23253684142719022,0.21435061840785502,0.03587737364611363,0.00018147684807584785
Healthy,preprocess_Reading10.dat,0.6552121582885502,0.19730245684090095,0.14053507467692442,0.006949674157064129,6.360365606512821e-07,0.04642568673519752,0.35529374658834884,0.2346517638017646,0.2145898630393533,0.13553313789172705,0.013386052567033261,0.0001197493765754049
Healthy,preprocess_Reading100.dat,0.703796039538967,0.15455911402145817,0.13447674365548473,0.007167465296806317,6.374872838528249e-07,0.0473105314868816,0.39413817532511625,0.24777704409040588,0.16964208854195806,0.12648652417854986,0.014511943049832481,0.00013369332725596703
Healthy,preprocess_Reading101.dat,0.6955269881432263,0.1710679477302152,0.12640383863330115,0.007000649949709919,5.75543547285157e-07,0.041290055567831635,0.3901511327734664,0.25740015665970273,0.17747268572399016,0.11947035618446143,0.014048844518142312,0.00016676857240543148
Healthy,preprocess_Reading102.dat,0.7160053959536741,0.16013918887884632,0.11715203492434903,0.006702849722795498,5.305203351404348e-07,0.053118105825174886,0.39786308987828123,0.2561259750220986,0.16846719832422516,0.11221363777386908,0.012112033373145524,9.99598032054903e-05
Healthy,preprocess_Reading103.dat,0.6884611774894325,0.17342887678176594,0.1315853281972436,0.006523917070338311,7.004612198042653e-07,0.04715449885863932,0.3754331639883404,0.2571188630678889,0.18370517983391454,0.12352681161827807,0.012941617786155369,0.00011986484678339884
Healthy,preprocess_Reading104.dat,0.6902816959102634,0.17134155767564618,0.13169113622707293,0.0066850116307315185,5.985562861752465e-07,0.03983113177989524,0.3998503887918397,0.24557250588353727,0.17826677715865435,0.12341787671858145,0.012948989115808995,0.00011233055168293296
Healthy,preprocess_Reading105.dat,0.6789386383989601,0.20325538435728996,0.11085471724790226,0.006950643558474001,6.164373739309499e-07,0.061732040101863964,0.3746617911777795,0.249056318459361,0.19627417871173578,0.10558516663975691,0.012587004654961249,0.00010350025454165835
Healthy,preprocess_Reading106.dat,0.690011328602647,0.18812912755467676,0.1152656013313551,0.00659316951813328,7.729931877768242e-07,0.04770925796895245,0.3932291042126759,0.23710100346473234,0.19842584265877675,0.11062287158578453,0.012810079054262494,0.00010184105481556837
Healthy,preprocess_Reading107.dat,0.6773241557776909,0.18644082944266513,0.1283110299446758,0.007923014358740939,9.704762275013776e-07,0.044203162164085597,0.4007249360110635,0.22999226386924612,0.18971538083406525,0.1210935755756358,0.014133843829643498,0.00013683771626024597
