classe,arquivo,amostras,media,rms,desvio_padrao,potencia_total_welch,fracao_0_500,fracao_500_1000,fracao_1000_2000,fracao_2000_4000,fracao_4000_8000
Healthy,preprocess_Reading1.dat,50000,-0.01066617075354,0.28072378538408616,0.2805210802806569,0.07924662552322582,0.5269205550544762,0.24046443855572427,0.222848609967149,0.009765715470495146,6.809521552631696e-07
Healthy,preprocess_Reading2.dat,50000,-0.01687244311282,0.2748901402902142,0.27437184602684417,0.07245555386944268,0.563238081432608,0.25957154828621687,0.1685117058641768,0.00867802385798,6.405590183317152e-07
Healthy,preprocess_Reading3.dat,50000,-0.01209764966866,0.26843488607893473,0.26816214299692837,0.0711126766401182,0.5939960423901781,0.22685118646444913,0.17053619577434712,0.008615933094800325,6.422762252158237e-07
Healthy,preprocess_Reading4.dat,50000,-0.015104516710344601,0.25489937612285235,0.25445146005233743,0.06396931293174446,0.634169262375647,0.22322614061406845,0.1350290911866083,0.007574912757964429,5.93065711766772e-07
Healthy,preprocess_Reading5.dat,50000,-0.020795592770134,0.26480991975068807,0.2639921152604839,0.07199012875836387,0.7103717638122654,0.17116108188197654,0.11253572089471522,0.005930874943431304,5.584676115450892e-07
Healthy,preprocess_Reading6.dat,50000,-0.016295785397260003,0.2490398496131941,0.24850612482119788,0.06145170144551069,0.643687936633221,0.21409018525831722,0.1346191004469021,0.007602211396137009,5.662654225712905e-07
Healthy,preprocess_Reading7.dat,50000,-0.01571557811386,0.26275120412971653,0.26228079585849046,0.07094810355545475,0.6236011042404138,0.21629990472039326,0.15223327958030855,0.007865143323215444,5.681356689511127e-07
Healthy,preprocess_Reading8.dat,50000,-0.024305381772419997,0.25302903007842037,0.2518589654535313,0.06209284846235535,0.6058510500094375,0.24059700205886353,0.14648564575758052,0.007065675420744187,6.267533741960552e-07
Healthy,preprocess_Reading9.dat,50000,-0.0050024457001631994,0.25265339107335594,0.25260386291164094,0.0652334170923447,0.639440223098119,0.21801375751829208,0.13556380132280468,0.006981573786294935,6.44274489202065e-07
Healthy,preprocess_Reading10.dat,50000,0.0059401049969448,0.26968641986118036,0.269620993637673,0.0731367986258146,0.663626066005435,0.1920406040006312,0.13752151784327718,0.006811183343892069,6.288067644944092e-07
Healthy,preprocess_Reading11.dat,50000,0.020728408355064003,0.2747256956909578,0.27394258697753887,0.07635830889979098,0.6257853157584224,0.21140730985792291,0.15552804273049256,0.007278734454107778,5.971990544351674e-07
Healthy,preprocess_Reading12.dat,50000,-0.006439929240799999,0.26144065179096704,0.26136132407121593,0.06775854681359852,0.6629847454901354,0.19181962633081576,0.13870637988600862,0.006488703819653697,5.444733865814874e-07
