classe,arquivo,amostras,media,rms,desvio_padrao,potencia_total_welch,fracao_0_500,fracao_500_1000,fracao_1000_2000,fracao_2000_4000,fracao_4000_8000,wavelet_A6,wavelet_D6,wavelet_D5,wavelet_D4,wavelet_D3,wavelet_D2,wavelet_D1
Healthy,preprocess_Reading1.dat,50000,-0.01066617075354,0.28072378538408616,0.2805210802806569,0.07924662552322582,0.5269205550544762,0.24046443855572427,0.222848609967149,0.009765715470495146,6.809521552631696e-07,0.046047605031198535,0.25861737336198326,0.22127844718420075,0.21543673549995276,0.2135842889142195,0.0442536716661412,0.0007818783423040318
Healthy,preprocess_Reading2.dat,50000,-0.01687244311282,0.2748901402902142,0.27437184602684417,0.07245555386944268,0.563238081432608,0.25957154828621687,0.1685117058641768,0.00867802385798,6.405590183317152e-07,0.047942212550193215,0.2741518801806004,0.22774362758570219,0.2526494122981624,0.17129180397984595,0.025710062229257577,0.0005110011762382849
Healthy,preprocess_Reading3.dat,50000,-0.01209764966866,0.26843488607893473,0.26816214299692837,0.0711126766401182,0.5939960423901781,0.22685118646444913,0.17053619577434712,0.008615933094800325,6.422762252158237e-07,0.037789050587902065,0.26381357326105376,0.26717495223560495,0.2344807490278443,0.1702524122322883,0.025940384331277145,0.0005488783240293949
Healthy,preprocess_Reading4.dat,50000,-0.015104516710344601,0.25489937612285235,0.25445146005233743,0.06396931293174446,0.634169262375647,0.22322614061406845,0.1350290911866083,0.007574912757964429,5.93065711766772e-07,0.05066853313785171,0.2901160473497948,0.26661352421032425,0.23419127002898427,0.13890875104126627,0.019090216052836936,0.0004116581789417643
Healthy,preprocess_Reading5.dat,50000,-0.020795592770134,0.26480991975068807,0.2639921152604839,0.07199012875836387,0.7103717638122654,0.17116108188197654,0.11253572089471522,0.005930874943431304,5.584676115450892e-07,0.07554526825042755,0.4007440883247597,0.21753132055228983,0.17376114958111452,0.11670476165489393,0.015377533768376453,0.0003358778681380983
Healthy,preprocess_Reading6.dat,50000,-0.016295785397260003,0.2490398496131941,0.24850612482119788,0.06145170144551069,0.643687936633221,0.21409018525831722,0.1346191004469021,0.007602211396137009,5.662654225712905e-07,0.05786363618596161,0.3308951680416376,0.23756332249524023,0.2160630568116505,0.13964683844949918,0.01756654740821466,0.00040143060779622956
Healthy,preprocess_Reading7.dat,50000,-0.01571557811386,0.26275120412971653,0.26228079585849046,0.07094810355545475,0.6236011042404138,0.21629990472039326,0.15223327958030855,0.007865143323215444,5.681356689511127e-07,0.04321923705269181,0.28088202703412835,0.2679357336437704,0.23757202651860695,0.15156820933064444,0.01842537422250695,0.00039739219765102656
Healthy,preprocess_Reading8.dat,50000,-0.024305381772419997,0.25302903007842037,0.2518589654535313,0.06209284846235535,0.6058510500094375,0.24059700205886353,0.14648564575758052,0.007065675420744187,6.267533741960552e-07,0.035851497764258944,0.26534947114249846,0.2872716887432889,0.24251486562253285,0.15095899126480258,0.017664612233692235,0.00038887322892603116
Healthy,preprocess_Reading9.dat,50000,-0.0050024457001631994,0.25265339107335594,0.25260386291164094,0.0652334170923447,0.639440223098119,0.21801375751829208,0.13556380132280468,0.006981573786294935,6.44274489202065e-07,0.04711993061210418,0.29563181529322746,0.2712973918537648,0.22842699874370317,0.14079265143145617,0.01637097263642352,0.0003602394293207881
Healthy,preprocess_Reading10.dat,50000,0.0059401049969448,0.26968641986118036,0.269620993637673,0.0731367986258146,0.663626066005435,0.1920406040006312,0.13752151784327718,0.006811183343892069,6.288067644944092e-07,0.05796459117427159,0.3266701900626073,0.252076334201875,0.20818248807928968,0.13750219766213154,0.017242630270384238,0.00036156854944061046
