classe,arquivo,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Healthy,preprocess_Reading1.dat,-9.180454117938602,-4.1950716280461,-0.9387202452777936,-0.5641834175059177,2.4839305789618327,0.4447343524205958,1.5461648586896088,0.265450696878176,0.2542864604986574,0.06811260901931938,0.027740564130546534,-1.5855203885892757e-06
Healthy,preprocess_Reading2.dat,-6.210551639107905,-2.07151393011936,-2.2631847743512523,0.5559779280574967,0.04801088952010909,-0.2024693443626566,0.27983869355654506,0.11436082906100668,0.2174470397744978,-0.06964573877351264,-0.00407161763548142,-1.3974670313590699e-06
Healthy,preprocess_Reading3.dat,-5.844551005958194,-2.055377084562483,-1.9654789708901097,0.42919263432232607,1.0051070322638678,-0.15994545381777128,0.24590011376548343,0.16023091805208553,0.09402711970958642,-0.31817515035499916,0.03695096235022532,-2.4496652947686453e-06
Healthy,preprocess_Reading4.dat,-3.899192431956259,-1.146621373275455,-2.09395297869379,0.8547515167950922,0.055699954585309276,-0.5725802530198925,0.014982177958035518,0.10600133979872756,0.14546700946604776,-0.13168722444983091,-0.018472725955057334,-1.4218701772828444e-06
Healthy,preprocess_Reading5.dat,-1.4240621468078745,-2.041760329525553,-1.433792912599079,0.8984566283170465,-0.24461469689311588,-0.17175718661385625,-0.30997957240189367,-0.06780656707931944,0.1451857307679693,-0.19475692802799072,-0.03635909735464414,-1.0249341935099778e-06
Healthy,preprocess_Reading6.dat,-3.471714444378251,-1.4877709680956643,-1.803271871338129,0.775919797234805,-0.10860899066779818,-0.8549879319159831,-0.23129948381413126,-0.042196705152774204,0.12628377744445424,-0.2491001483043038,-0.020180813247984677,-2.1790230500428385e-06
Healthy,preprocess_Reading7.dat,-4.166702114892621,-1.1786208511716176,-2.1494881855316903,0.8480561641857192,0.0661925317064035,-0.3270469372702285,-0.5554931344849428,0.0922711125136228,0.11025964843537608,-0.1178466992533629,0.0016911258113409054,-1.5346980317460281e-06
Healthy,preprocess_Reading8.dat,-4.281933700788081,-0.5750516506592556,-1.9943927991100114,1.045979341768052,-0.28811416754432373,-0.3851127752302021,-0.20346712786888846,-0.19208882450895742,0.10525431243327263,-0.23381186527470937,0.02369552080494643,-1.335193297915895e-06
Healthy,preprocess_Reading9.dat,-3.3658827737282286,-0.7857849449272611,-2.025955278938334,0.7110679997947118,-0.24875761607130295,-0.452835181939246,-0.38096414337743506,-0.06989747334628961,0.15344383807293585,-0.17280415295296286,-0.002772410432573337,-6.231361067256667e-07
Healthy,preprocess_Reading10.dat,-2.863647453431395,-1.4877502901742805,-2.0082652614375944,0.43036335994287006,-0.015644382591338643,0.029533551291028196,-0.5297508005524505,0.03191272893565481,0.13182496566970758,-0.10583064506867396,-0.030252500880278973,-3.37004392655379e-07
Healthy,preprocess_Reading11.dat,-3.8054475282197737,-1.3271510174579815,-2.3569690724254992,0.14006190673073074,-0.006243078104968548,0.10016237248294611,-0.5593033377981045,-0.02919567108435958,-0.0854868045572854,-0.21736131712879544,0.06076799813499728,-2.002464515445887e-06
Healthy,preprocess_Reading12.dat,-2.6703365667503274,-0.9979327455380561,-1.9021129157777952,0.759240958903464,0.004113995076980426,-0.053632928852778185,-0.5061786895084547,-0.0036806635146064324,-0.12012460894308344,-0.07427496370170315,0.025270261753265858,-1.5213134719422712e-06
