classe,arquivo,amostras,media,rms,desvio_padrao
Healthy,preprocess_Reading1.dat,50000,-0.01066617075354,0.28072378538408616,0.2805210802806569
Healthy,preprocess_Reading2.dat,50000,-0.01687244311282,0.2748901402902142,0.27437184602684417
Healthy,preprocess_Reading3.dat,50000,-0.01209764966866,0.26843488607893473,0.26816214299692837
Healthy,preprocess_Reading4.dat,50000,-0.015104516710344601,0.25489937612285235,0.25445146005233743
Healthy,preprocess_Reading5.dat,50000,-0.020795592770134,0.26480991975068807,0.2639921152604839
Healthy,preprocess_Reading6.dat,50000,-0.016295785397260003,0.2490398496131941,0.24850612482119788
Healthy,preprocess_Reading7.dat,50000,-0.01571557811386,0.26275120412971653,0.26228079585849046
Healthy,preprocess_Reading8.dat,50000,-0.024305381772419997,0.25302903007842037,0.2518589654535313
Healthy,preprocess_Reading9.dat,50000,-0.0050024457001631994,0.25265339107335594,0.25260386291164094
Healthy,preprocess_Reading10.dat,50000,0.0059401049969448,0.26968641986118036,0.269620993637673
Healthy,preprocess_Reading11.dat,50000,0.020728408355064003,0.2747256956909578,0.27394258697753887
Healthy,preprocess_Reading12.dat,50000,-0.006439929240799999,0.26144065179096704,0.26136132407121593
Healthy,preprocess_Reading13.dat,50000,-0.0021125754579068,0.25411676884036616,0.2541079873416079
Healthy,preprocess_Reading14.dat,50000,-0.035324696742406,0.24131549742995875,0.2387160134970536
Healthy,preprocess_Reading15.dat,50000,-0.017874263377451998,0.26041734870013294,0.25980320670215007
Healthy,preprocess_Reading16.dat,50000,-0.040802236691972,0.2459765982478453,0.24256888581702762
Healthy,preprocess_Reading17.dat,50000,-0.043000734219246,0.25840967501653694,0.2548067836592229
Healthy,preprocess_Reading18.dat,50000,-0.01018479360463,0.24253502974752061,0.2423210899485676
Healthy,preprocess_Reading19.dat,50000,-0.034667075277838,0.2695633898751722,0.2673249241142225
Healthy,preprocess_Reading20.dat,50000,-0.0023796538521919995,0.26562504164114925,0.26561438213019645
Healthy,preprocess_Reading21.dat,50000,-0.039082509957444,0.2612123315645302,0.25827202631489987
Healthy,preprocess_Reading22.dat,50000,-0.007436463060487,0.26018633028261295,0.2600800366869456
Healthy,preprocess_Reading23.dat,50000,0.043184235592404,0.2801749285464662,0.2768268635488926
Healthy,preprocess_Reading24.dat,50000,-0.0076913911357400005,0.2703702130839689,0.27026079002598175
Healthy,preprocess_Reading25.dat,50000,-0.00911738666004,0.26307947350811933,0.262921438155584
Healthy,preprocess_Reading26.dat,50000,0.025488670408796002,0.23666910440441372,0.23529256822173336
Healthy,preprocess_Reading27.dat,50000,-0.05585472902764001,0.26213776533547695,0.2561180533666584
Healthy,preprocess_Reading28.dat,50000,0.0196275428927204,0.2524842319274726,0.2517201758540626
Healthy,preprocess_Reading29.dat,50000,0.01795238844688,0.2481712195397551,0.24752104144274614
Healthy,preprocess_Reading30.dat,50000,-0.00741187167724092,0.2604629794958009,0.260357500076472
Healthy,preprocess_Reading31.dat,50000,-0.014747894232812,0.24923790828684583,0.2488011948180715
Healthy,preprocess_Reading32.dat,50000,-0.009731037467780439,0.27594808476854404,0.2757764536671473
Healthy,preprocess_Reading33.dat,50000,0.066315651130418,0.2467542758016652,0.23767605483420692
Healthy,preprocess_Reading34.dat,50000,0.0008504051701879999,0.2644565781299778,0.2644552108151087
Healthy,preprocess_Reading35.dat,50000,0.044225834933578005,0.27345453299638756,0.2698545110623506
Healthy,preprocess_Reading36.dat,50000,0.027011528123726,0.2652841643730705,0.26390540959885506
Healthy,preprocess_Reading37.dat,50000,0.019278667455588,0.2587836508110783,0.2580645479492426
Healthy,preprocess_Reading38.dat,50000,0.009105841267016,0.24056935416480307,0.24039695883702514
Healthy,preprocess_Reading39.dat,50000,0.034809101273768,0.264907807786774,0.26261087771626473
Healthy,preprocess_Reading40.dat,50000,0.010600297044255299,0.2534534539649459,0.25323168646386746
Healthy,preprocess_Reading41.dat,50000,0.03260635865175,0.2682479540735058,0.26625887823713057
Healthy,preprocess_Reading42.dat,50000,-0.004613197151958,0.24594500115008427,0.24590173241104285
Healthy,preprocess_Reading43.dat,50000,-0.037831541925766,0.24069492790237587,0.23770322411244008
Healthy,preprocess_Reading44.dat,50000,0.01433931418266,0.2723169646807115,0.2719391720986272
Healthy,preprocess_Reading45.dat,50000,-0.025081035226490002,0.257115031454782,0.2558888060700606
Healthy,preprocess_Reading46.dat,50000,0.0034554130989700002,0.26404849072605663,0.2640258805023172
Healthy,preprocess_Reading47.dat,50000,0.044386655664800004,0.2742692634824725,0.27065375240353196
Healthy,preprocess_Reading48.dat,50000,0.019857854815231998,0.27394556126228,0.2732248819881578
Healthy,preprocess_Reading49.dat,50000,-0.0024960314946599997,0.26872526017954124,0.2687136678424449
Healthy,preprocess_Reading50.dat,50000,0.031832858602398,0.2651440651106948,0.26322622281342734
Healthy,preprocess_Reading51.dat,50000,-0.08826732654894641,0.26057019790532243,0.2451646530401978
Healthy,preprocess_Reading52.dat,50000,0.008615176217046001,0.27455455668082807,0.27441935670239315
Healthy,preprocess_Reading53.dat,50000,0.018232803972846,0.2342191433352112,0.23350839805875934
Healthy,preprocess_Reading54.dat,50000,-0.004042967757424,0.2698486545957672,0.26981836631122447
Healthy,preprocess_Reading55.dat,50000,0.027640622270586,0.2690636258249536,0.2676401142253631
Healthy,preprocess_Reading56.dat,50000,0.008095164999963999,0.2557944581780278,0.2556663316477439
